"","x"
"Basic Materials",206944.047619048
"Consumer Goods",232260.507246377
"Consumer Services",248919.666666667
"Financials",195227.833333333
"Health Care",274397.619047619
"Industrials",220703.8647343
"Oil & Gas",250869.75308642
"Technology",190272.435897436
"Telecommunications",276635
"Utilities",188421.323529412
